1  5.02  	4.95
6  5.17  	5.13
11  5.15  	5.19
16  5.07  	5.21
21  5.30  	5.15
26  5.39  	5.14
31  5.15  	5.18
36  4.85  	5.17
41  5.03  	5.19
46  5.27  	4.99
51  5.10  	5.00
56  4.84  	5.13
61  5.00  	5.31
66  5.32  	5.18
71  5.28  	5.14
76  5.20  	5.15
81  5.09  	5.14
86  5.21  	5.08
91  5.00  	5.14
96  4.92  	5.13
101  5.05  	5.19
106  5.26  	5.19
111  5.06  	5.20
116  4.83  	5.14
121  4.83  	5.10
126  4.91  	5.07
131  4.97  	5.18
136  4.95  	5.20
141  4.93  	5.28
146  4.97  	5.25
151  5.05  	5.19
156  4.99  	5.13
161  5.00  	5.13
166  5.15  	5.04
171  4.80  	5.10
176  4.70  	5.07
181  4.85  	5.12
186  5.00  	5.13
191  4.93  	5.16
196  4.89  	5.07
201  5.13  	4.93
206  5.16  	4.94
211  5.20  	5.02
216  5.11  	4.98
221  5.18  	5.07
226  5.09  	5.11
231  5.00  	5.27
236  4.94  	5.22
241  5.18  	5.13
246  5.15  	5.04
251  5.01  	5.06
256  5.15  	4.93
261  5.29  	4.93
266  5.21  	4.97
271  5.04  	5.20
276  5.06  	5.17
281  5.23  	4.99
286  4.95  	5.17
291  4.97  	5.17
296  5.07  	5.25
301  5.27  	5.21
306  5.22  	5.00
311  5.20  	4.96
316  5.31  	5.05
321  5.49  	5.33
326  5.42  	5.21
331  5.18  	5.01
336  5.13  	4.96
341  5.04  	5.17
346  5.16  	5.25
351  5.25  	5.35
356  5.36  	5.23
361  5.41  	5.19
366  5.33  	5.17
371  5.18  	5.26
376  5.09  	5.25
381  5.35  	5.05
386  5.30  	5.00
391  5.20  	5.10
396  5.06  	5.28
401  5.13  	5.26
406  5.03  	5.21
411  5.22  	5.08
416  5.24  	5.16
421  5.14  	5.21
426  5.00  	5.13
431  4.94  	5.11
436  5.09  	4.97
441  5.24  	5.12
446  5.15  	5.24
451  4.91  	5.22
456  5.17  	5.00
461  5.28  	5.11
466  5.10  	5.25
471  4.85  	5.17
476  4.78  	5.09
481  5.22  	5.02
486  5.18  	5.14
491  5.28  	5.07
496  5.20  	5.16
501  5.47  	5.20
506  5.36  	5.11
511  4.85  	5.18
516  4.89  	5.24
521  5.19  	5.26
526  5.37  	5.19
531  5.01  	5.18
536  5.01  	5.14
541  5.11  	5.26
546  5.18  	5.06
551  4.85  	4.89
556  4.93  	4.89
561  5.17  	5.19
566  5.13  	5.36
571  5.02  	5.25
576  5.03  	5.10
581  5.22  	5.12
586  5.11  	5.17
591  5.03  	5.12
596  5.13  	5.03
601  5.29  	5.09
606  5.34  	5.21
611  5.26  	5.36
616  5.29  	5.23
621  5.33  	5.10
626  5.14  	5.11
631  4.91  	5.17
636  5.01  	5.17
641  5.24  	4.98
646  5.21  	4.90
651  4.97  	5.18
656  5.07  	5.27
661  5.37  	5.20
666  5.23  	5.03
671  5.01  	5.10
676  4.93  	5.14
681  5.12  	5.22
686  5.23  	5.21
691  5.12  	5.20
696  5.04  	5.19
701  5.23  	5.17
706  5.27  	5.20
711  5.10  	5.25
716  4.91  	5.11
721  5.17  	5.01
726  5.22  	5.12
731  5.13  	5.21
736  5.08  	5.23
741  5.31  	5.13
746  5.29  	5.09
751  5.11  	5.07
756  5.00  	5.12
761  5.14  	5.05
766  5.21  	4.98
771  5.09  	5.09
776  4.98  	5.21
781  5.16  	5.39
786  5.27  	5.18
791  4.98  	5.06
796  4.79  	5.00
801  4.98  	5.21
806  5.00  	5.26
811  5.05  	5.09
816  5.18  	5.01
821  5.25  	5.01
826  5.23  	5.19
831  5.15  	5.42
836  4.98  	5.22
841  5.11  	4.86
846  4.98  	4.81
851  4.99  	5.12
856  5.11  	5.33
861  5.34  	5.29
866  5.29  	5.07
871  5.15  	5.04
876  5.15  	5.07
881  5.23  	5.10
886  5.18  	5.10
891  4.97  	5.14
896  4.94  	5.13
901  5.08  	5.13
906  5.15  	5.08
911  4.94  	5.07
916  4.85  	5.10
921  4.96  	5.18
926  5.25  	5.09
931  5.07  	5.04
936  4.83  	5.00
941  4.80  	5.01
946  4.99  	5.11
951  5.20  	5.13
956  5.13  	5.25
961  5.01  	5.21
966  4.91  	5.12
971  4.79  	4.99
976  4.89  	5.02
981  5.13  	4.97
986  4.99  	5.24
991  4.79  	5.20
996  4.85  	5.15
1001  4.94  	5.08
1006  5.07  	5.01
1011  4.85  	5.05
1016  4.72  	5.11
1021  4.86  	5.20
1026  5.14  	5.36
1031  4.94  	5.20
1036  4.68  	5.00
1041  4.79  	4.96
1046  5.26  	5.13
1051  5.28  	5.09
1056  4.73  	5.09
1061  4.69  	4.93
1066  5.03  	4.90
1071  5.20  	5.01
1076  5.00  	5.27
1081  4.81  	5.16
1086  4.87  	5.06
1091  5.05  	4.89
1096  4.96  	5.14
1101  4.75  	5.02
1106  4.77  	5.05
1111  4.71  	5.03
1116  4.88  	5.15
1121  4.88  	5.15
1126  4.85  	4.99
1131  4.67  	4.95
1136  4.64  	5.12
1141  4.89  	5.25
1146  5.07  	5.13
1151  4.88  	4.77
1156  4.59  	4.95
1161  4.63  	5.11
1166  4.93  	5.26
1171  5.01  	5.12
1176  4.88  	5.04
1181  4.74  	5.05
1186  4.79  	5.07
1191  4.81  	4.98
1196  4.76  	4.93
1201  4.59  	4.97
1206  4.69  	5.11
1211  4.93  	5.18
1216  5.21  	5.12
1221  4.88  	4.96
1226  4.48  	4.87
1231  4.54  	4.95
1236  5.14  	5.22
1241  5.10  	5.23
1246  4.58  	5.11
1251  4.42  	4.99
1256  4.78  	4.98
1261  5.10  	5.17
1266  4.87  	5.15
1271  4.61  	5.07
1276  4.76  	5.00
1281  4.95  	4.97
1286  4.83  	5.14
1291  4.71  	5.11
1296  4.82  	5.08
1301  4.79  	5.05
1306  4.84  	5.10
1311  5.00  	5.28
1316  5.17  	5.11
1321  4.95  	4.89
1326  4.71  	4.91
1331  4.83  	5.19
1336  5.19  	5.40
1341  5.21  	5.12
1346  4.68  	4.92
1351  4.72  	4.91
1356  4.80  	4.96
1361  4.79  	5.03
1366  4.58  	4.91
1371  4.76  	5.03
1376  5.04  	5.15
1381  5.27  	5.17
1386  5.14  	4.99
1391  4.77  	4.99
1396  4.75  	4.91
1401  5.06  	5.12
1406  5.27  	5.25
1411  5.26  	5.21
1416  4.94  	5.04
1421  4.88  	5.02
1426  5.07  	5.19
1431  5.44  	5.27
1436  5.14  	4.87
1441  4.91  	4.71
1446  4.84  	4.75
1451  5.30  	5.13
1456  5.54  	5.30
1461  5.30  	5.12
1466  4.81  	5.08
1471  4.85  	5.02
1476  5.15  	5.05
1481  5.23  	5.03
1486  5.01  	4.82
1491  4.76  	5.10
1496  5.01  	5.29
1501  5.51  	5.34
1506  5.29  	5.12
1511  5.15  	4.96
1516  5.12  	4.87
1521  5.19  	4.97
1526  4.99  	5.22
1531  5.20  	4.99
1536  5.13  	4.89
1541  5.10  	4.97
1546  5.14  	5.24
1551  5.31  	5.49
1556  5.35  	5.06
1561  5.05  	4.77
1566  4.96  	4.78
1571  5.25  	4.99
1576  5.47  	5.05
1581  5.32  	4.90
1586  5.14  	4.77
1591  5.17  	4.92
1596  5.53  	5.36
1601  5.53  	5.31
1606  5.12  	4.92
1611  4.94  	4.76
1616  5.16  	4.91
1621  5.54  	5.27
1626  5.62  	5.39
1631  5.36  	5.07
1636  5.29  	4.89
1641  5.37  	4.92
1646  5.58  	5.22
1651  5.29  	5.13
1656  4.76  	4.96
1661  4.96  	4.62
1666  5.35  	4.93
1671  5.52  	5.28
1676  5.42  	5.36
1681  5.23  	5.03
1686  5.22  	4.85
1691  5.21  	4.87
1696  5.36  	5.11
1701  5.26  	5.05
1706  5.23  	4.99
1711  5.22  	4.94
1716  5.36  	5.09
1721  5.48  	5.21
1726  5.37  	5.12
1731  5.07  	4.76
1736  4.98  	4.71
1741  5.33  	4.98
1746  5.63  	5.21
1751  5.38  	4.98
1756  5.19  	4.87
1761  5.32  	5.03
1766  5.47  	5.22
1771  5.36  	5.08
1776  5.08  	4.86
1781  4.79  	5.08
1786  5.27  	5.09
1791  5.49  	5.24
1796  5.25  	5.16
1801  5.03  	5.15
1806  5.15  	5.27
1811  5.38  	5.11
1816  5.25  	4.98
1821  5.08  	4.93
1826  5.08  	4.96
1831  5.19  	5.03
1836  5.29  	5.15
1841  5.35  	5.23
1846  5.33  	5.16
1851  5.25  	5.12
1856  5.10  	5.15
1861  5.24  	5.17
1866  5.29  	5.03
1871  5.31  	4.94
1876  5.22  	4.95
1881  5.21  	5.26
1886  5.41  	5.33
1891  5.38  	5.25
1896  5.26  	4.96
1901  5.24  	4.86
1906  5.39  	5.09
1911  5.28  	5.18
1916  4.99  	5.10
1921  5.18  	4.94
1926  5.50  	4.99
1931  5.56  	5.27
1936  5.23  	5.42
1941  5.20  	5.11
1946  5.20  	4.95
1951  5.17  	4.98
1956  5.16  	5.29
1961  5.37  	5.40
1966  5.34  	5.18
1971  4.96  	5.19
1976  4.82  	5.14
1981  5.11  	5.12
1986  5.32  	5.20
1991  4.99  	5.22
1996  4.76  	5.21
