1  4.97  	5.10
6  5.24  	5.25
11  5.39  	5.32
16  5.16  	5.27
21  5.24  	5.15
26  5.42  	5.12
31  5.38  	5.11
36  5.02  	5.12
41  4.88  	5.09
46  5.03  	5.19
51  5.39  	5.13
56  5.36  	5.09
61  5.01  	5.28
66  5.02  	5.19
71  5.19  	5.03
76  5.21  	4.96
81  5.24  	5.06
86  5.15  	5.19
91  5.06  	5.32
96  5.01  	5.29
101  5.19  	5.29
106  5.31  	5.17
111  5.21  	5.12
116  5.12  	5.00
121  5.00  	5.17
126  5.21  	5.03
131  5.32  	5.21
136  5.31  	5.21
141  5.33  	5.14
146  5.28  	5.08
151  5.14  	5.23
156  5.10  	5.25
161  5.14  	5.24
166  5.31  	4.99
171  5.35  	5.03
176  5.06  	5.26
181  5.02  	5.30
186  5.23  	5.13
191  5.31  	5.08
196  5.11  	5.06
201  4.89  	5.15
206  5.03  	5.20
211  5.33  	5.15
216  5.18  	4.98
221  4.91  	5.11
226  5.08  	5.16
231  5.40  	5.22
236  5.29  	5.10
241  5.01  	5.21
246  5.22  	5.14
251  5.45  	5.29
256  5.21  	5.20
261  4.81  	5.08
266  4.88  	5.07
271  5.29  	5.16
276  5.38  	5.22
281  5.03  	5.29
286  5.18  	4.89
291  5.19  	4.94
296  5.13  	4.98
301  5.18  	5.02
306  5.30  	4.98
311  5.41  	5.09
316  5.10  	5.28
321  4.94  	5.26
326  5.16  	5.23
331  5.36  	5.11
336  5.15  	5.07
341  4.83  	5.09
346  5.11  	5.21
351  5.54  	5.25
356  5.43  	5.21
361  4.97  	5.15
366  4.99  	5.15
371  5.35  	5.19
376  5.18  	5.23
381  4.74  	5.09
386  4.76  	5.04
391  5.35  	5.04
396  5.46  	5.16
401  5.04  	5.29
406  4.99  	5.20
411  5.28  	4.96
416  5.38  	4.99
421  5.45  	5.20
426  5.54  	5.36
431  5.37  	5.19
436  4.93  	5.08
441  4.91  	5.05
446  5.15  	5.33
451  5.12  	5.42
456  4.80  	5.19
461  4.79  	5.06
466  5.08  	5.15
471  5.40  	5.17
476  5.30  	5.07
481  4.86  	5.21
486  4.88  	5.16
491  4.97  	5.12
496  5.23  	5.01
501  5.26  	4.96
506  4.88  	5.11
511  4.73  	5.03
516  4.90  	5.20
521  5.11  	5.38
526  5.37  	5.00
531  5.25  	4.96
536  5.18  	4.99
541  5.07  	5.33
546  5.38  	5.04
551  5.24  	4.94
556  4.78  	5.02
561  4.77  	5.07
566  5.26  	5.11
571  5.45  	5.18
576  5.04  	5.34
581  4.87  	5.14
586  5.15  	4.95
591  5.30  	5.00
596  5.25  	5.05
601  4.97  	5.24
606  5.20  	4.96
611  5.23  	5.04
616  5.05  	5.21
621  5.07  	5.20
626  4.96  	5.16
631  4.86  	5.17
636  4.90  	5.22
641  5.07  	5.32
646  5.30  	5.10
651  5.15  	4.99
656  4.93  	5.13
661  4.93  	5.20
666  5.26  	5.14
671  5.31  	5.09
676  4.89  	5.16
681  4.84  	5.12
686  5.02  	5.15
691  5.32  	5.18
696  4.97  	5.29
701  4.95  	5.28
706  5.16  	4.99
711  5.17  	5.00
716  5.20  	5.04
721  5.29  	4.91
726  5.26  	4.89
731  5.02  	5.25
736  5.13  	5.22
741  4.92  	5.19
746  4.94  	5.04
751  5.19  	5.02
756  5.29  	5.01
761  5.29  	5.11
766  5.31  	5.15
771  5.30  	5.02
776  5.19  	4.94
781  5.23  	4.99
786  5.44  	5.27
791  5.38  	5.44
796  5.02  	5.15
801  4.72  	5.03
806  5.20  	4.94
811  5.41  	5.09
816  5.23  	5.21
821  4.99  	5.20
826  5.14  	5.28
831  5.44  	5.10
836  5.24  	5.09
841  4.90  	5.16
846  4.87  	5.19
851  5.35  	5.06
856  5.41  	5.11
861  5.06  	5.16
866  5.09  	5.13
871  5.39  	5.15
876  5.50  	5.14
881  5.30  	5.02
886  5.23  	5.01
891  5.22  	4.99
896  5.20  	5.00
901  4.92  	5.28
906  5.05  	5.39
911  5.33  	5.17
916  5.02  	5.25
921  4.99  	5.17
926  5.23  	5.13
931  5.32  	5.02
936  5.18  	5.06
941  5.24  	5.00
946  5.52  	5.12
951  5.54  	5.06
956  5.28  	5.08
961  4.93  	5.15
966  5.07  	5.17
971  5.39  	5.08
976  5.40  	5.16
981  5.23  	5.21
986  5.28  	5.21
991  5.43  	5.17
996  5.41  	5.14
1001  5.28  	5.07
1006  5.33  	5.11
1011  5.43  	5.15
1016  5.29  	5.20
1021  5.09  	5.24
1026  5.41  	5.20
1031  5.51  	5.21
1036  5.33  	5.12
1041  5.13  	5.11
1046  5.32  	5.18
