1  5.13  	5.23
6  5.07  	5.19
11  5.14  	5.02
16  5.15  	5.09
21  5.21  	5.18
26  5.20  	5.21
31  5.23  	5.19
36  5.16  	5.05
41  5.24  	5.01
46  5.28  	4.99
51  5.27  	5.08
56  5.10  	5.22
61  5.28  	5.19
66  5.24  	5.11
71  5.14  	5.03
76  4.92  	5.03
81  5.12  	5.20
86  5.24  	5.28
91  5.13  	5.24
96  4.98  	5.10
101  5.18  	5.02
106  5.26  	5.09
111  5.31  	5.12
116  5.21  	5.10
121  5.10  	5.16
126  4.99  	5.21
131  5.01  	5.16
136  5.10  	5.01
141  5.13  	4.96
146  5.12  	5.05
151  4.99  	5.19
156  4.92  	5.07
161  5.05  	4.87
166  5.18  	4.86
171  5.25  	5.01
176  5.01  	5.27
181  4.80  	5.19
186  4.85  	5.05
191  5.01  	4.93
196  5.20  	5.00
201  5.15  	5.12
206  5.06  	5.28
211  5.00  	5.30
216  5.27  	5.13
221  5.30  	5.05
226  5.24  	4.97
231  4.98  	5.06
236  4.91  	5.13
241  4.90  	5.17
246  5.32  	5.11
251  5.39  	5.18
256  5.17  	5.22
261  4.79  	5.07
266  4.84  	5.05
271  5.14  	4.97
276  5.36  	5.05
281  5.37  	5.10
286  5.31  	5.21
291  5.10  	5.19
296  5.06  	5.16
301  5.17  	5.04
306  5.23  	5.11
311  5.01  	5.13
316  4.95  	5.15
321  4.99  	5.05
326  5.30  	5.02
331  5.37  	5.11
336  5.23  	5.33
341  5.14  	5.18
346  4.98  	5.06
351  4.81  	5.05
356  5.15  	4.95
361  5.24  	5.18
366  5.25  	5.19
371  5.10  	5.14
376  5.10  	5.24
381  5.12  	5.27
386  5.27  	5.17
391  5.28  	5.12
396  5.25  	4.98
401  5.28  	4.97
406  5.09  	5.26
411  5.16  	5.29
416  5.03  	5.28
421  4.98  	5.23
426  5.35  	4.96
431  5.32  	5.05
436  5.05  	5.20
441  4.90  	5.10
446  5.15  	4.84
451  5.35  	4.92
456  5.05  	5.32
461  4.95  	5.35
466  4.96  	5.23
471  5.25  	4.95
476  5.26  	4.89
481  5.20  	5.02
486  5.00  	5.14
491  4.88  	5.08
496  5.08  	5.05
501  5.41  	5.12
506  5.51  	5.23
511  5.30  	5.12
516  4.91  	5.11
521  4.87  	5.02
526  5.04  	4.92
531  5.18  	5.10
536  5.30  	5.21
541  5.11  	5.29
546  5.27  	4.98
551  5.12  	5.21
556  5.20  	5.16
561  5.20  	5.08
566  5.16  	4.94
571  4.89  	5.20
576  4.98  	5.23
581  5.08  	5.22
586  5.01  	5.17
591  5.00  	5.12
596  5.21  	5.02
601  5.18  	5.01
606  5.06  	5.15
611  5.10  	5.04
616  5.22  	4.99
621  5.25  	5.01
626  5.03  	5.22
631  4.96  	5.24
636  5.04  	5.21
641  5.18  	5.12
646  5.12  	5.02
651  4.91  	5.10
656  4.95  	5.20
661  5.30  	5.06
666  5.33  	5.07
671  5.20  	5.14
676  5.12  	5.15
681  5.11  	5.16
686  5.03  	5.21
691  4.96  	5.23
696  5.04  	5.20
701  5.09  	5.11
706  5.07  	5.04
711  5.04  	5.19
716  5.00  	5.28
721  5.32  	5.12
726  5.19  	5.02
731  5.09  	5.00
736  4.99  	5.04
741  5.08  	5.15
746  5.07  	5.20
751  5.02  	5.21
756  4.97  	5.16
761  5.04  	5.20
766  5.28  	5.11
771  5.31  	5.19
776  5.16  	5.08
781  5.04  	4.98
786  5.07  	4.95
791  5.21  	5.11
796  5.08  	5.23
801  5.08  	5.23
806  5.12  	5.10
811  5.07  	5.04
816  4.84  	4.98
821  4.93  	5.08
826  5.14  	5.21
831  5.31  	5.13
836  5.10  	4.99
841  5.00  	5.14
846  5.14  	5.19
851  5.35  	5.26
856  5.12  	5.14
861  4.83  	5.18
866  4.85  	5.20
871  5.22  	5.20
876  5.31  	5.18
881  5.19  	5.06
886  4.95  	5.14
891  5.00  	5.24
896  5.16  	5.26
901  5.25  	5.17
906  5.14  	4.94
911  5.11  	4.94
916  4.89  	5.20
921  5.01  	5.34
926  5.18  	5.29
931  5.24  	5.11
936  5.10  	5.02
941  4.94  	5.12
946  5.10  	5.22
951  5.37  	5.11
956  5.20  	4.95
961  4.97  	5.02
966  5.13  	5.25
971  5.36  	5.44
976  5.20  	5.36
981  5.14  	4.94
986  5.08  	4.91
991  5.18  	5.12
996  5.19  	5.30
1001  5.22  	5.12
1006  5.24  	4.93
1011  5.24  	5.01
1016  5.32  	5.24
1021  5.27  	5.32
1026  5.01  	5.11
1031  4.88  	5.04
1036  5.10  	4.90
1041  5.36  	5.24
1046  5.58  	5.43
1051  5.22  	5.30
1056  4.85  	5.14
1061  4.89  	5.11
1066  5.29  	5.10
1071  5.34  	5.12
1076  5.07  	5.05
1081  4.91  	5.07
1086  5.27  	5.01
