1  5.35  	5.12
6  5.29  	5.12
11  5.11  	5.03
16  5.01  	5.06
21  5.10  	5.12
26  5.22  	5.07
31  5.20  	5.06
36  5.01  	5.05
41  5.12  	5.07
46  5.29  	5.09
51  5.38  	5.08
56  5.06  	5.30
61  5.06  	5.25
66  5.17  	5.09
71  5.19  	4.99
76  5.11  	4.95
81  5.00  	5.14
86  4.98  	5.27
91  5.22  	5.30
96  5.39  	5.19
101  5.36  	5.13
106  5.05  	5.00
111  4.91  	5.03
116  5.27  	5.06
121  5.51  	5.26
126  5.17  	5.28
131  4.93  	5.12
136  5.15  	5.04
141  5.47  	5.24
146  5.35  	5.34
151  5.13  	5.18
156  5.08  	4.88
161  5.22  	4.88
166  5.31  	5.01
171  5.28  	5.16
176  5.17  	5.23
181  5.22  	5.12
186  5.25  	5.08
191  5.20  	5.13
196  5.17  	5.05
201  5.11  	5.00
206  5.16  	5.08
211  5.39  	5.23
216  5.45  	5.26
221  5.22  	5.13
226  4.98  	4.96
231  4.99  	5.03
236  5.27  	5.15
241  5.41  	5.20
246  5.26  	4.99
251  4.88  	4.97
256  4.98  	5.08
261  5.38  	5.36
266  5.55  	5.38
271  5.23  	5.04
276  4.98  	4.87
281  4.97  	5.00
286  5.26  	5.13
291  5.37  	5.02
296  5.15  	4.80
301  5.08  	4.72
306  4.85  	5.27
311  5.13  	5.36
316  5.30  	5.18
321  5.12  	4.90
326  4.97  	4.81
331  4.88  	5.12
336  5.15  	5.29
341  5.25  	5.17
346  5.05  	4.90
351  5.09  	4.83
356  5.17  	4.97
361  5.08  	5.23
366  5.10  	5.21
371  5.04  	5.08
376  5.21  	5.04
381  5.33  	5.11
386  5.13  	5.34
391  5.09  	5.33
396  5.21  	5.00
401  5.19  	4.98
406  5.24  	5.06
411  5.20  	5.13
416  4.92  	5.06
421  4.83  	5.07
426  5.01  	5.28
431  5.49  	5.22
436  5.35  	5.23
441  5.03  	5.09
446  5.03  	4.94
451  5.26  	4.94
456  5.36  	5.06
461  5.20  	5.04
466  4.92  	5.15
471  5.09  	5.20
476  5.31  	5.19
481  5.29  	5.23
486  5.12  	5.24
491  5.19  	5.01
496  5.13  	4.92
501  5.15  	4.99
506  5.05  	5.23
511  5.18  	5.30
516  5.31  	5.19
521  5.28  	5.18
526  5.06  	5.18
531  5.01  	5.13
536  4.93  	5.02
541  4.98  	5.01
546  5.04  	5.16
551  5.39  	5.18
556  5.38  	5.24
561  5.24  	5.18
566  5.11  	5.19
571  5.13  	5.18
576  5.22  	5.02
581  5.11  	4.93
586  4.95  	5.05
591  5.10  	5.26
596  5.10  	5.29
601  5.22  	5.02
606  5.22  	4.93
611  5.39  	5.07
616  5.28  	5.17
621  4.97  	5.18
626  5.12  	4.99
631  5.32  	4.92
636  5.13  	5.03
641  4.82  	5.17
646  5.03  	5.22
651  5.32  	5.15
656  5.19  	5.14
661  4.85  	5.08
666  4.96  	5.10
671  5.36  	5.06
676  5.32  	5.12
681  4.94  	5.14
686  4.99  	5.20
691  5.45  	5.16
696  5.29  	5.17
701  4.72  	5.09
706  4.66  	5.05
711  5.12  	5.05
716  5.34  	5.13
721  5.00  	5.23
726  5.26  	4.93
731  5.34  	5.02
736  5.39  	5.11
741  5.18  	5.12
746  4.99  	5.16
751  5.14  	5.03
756  5.15  	5.09
761  5.00  	5.19
766  5.03  	5.21
771  5.05  	5.22
776  5.25  	5.01
781  5.16  	4.95
786  5.17  	4.99
791  5.17  	4.96
796  5.23  	5.07
801  5.20  	4.99
806  5.13  	5.00
811  5.05  	5.16
816  5.12  	5.28
821  5.07  	5.17
826  5.14  	5.00
831  5.20  	4.96
836  5.23  	5.05
841  5.00  	5.14
