1  5.16  	4.95
6  5.25  	4.99
11  5.25  	5.01
16  5.20  	4.96
21  5.21  	4.97
26  5.21  	4.94
31  5.19  	5.01
36  5.19  	4.96
41  5.29  	5.01
46  5.30  	5.01
51  5.32  	5.05
56  5.28  	5.02
61  5.15  	4.82
66  5.20  	4.84
71  5.45  	5.12
76  5.45  	5.25
81  5.38  	5.14
86  5.33  	4.98
91  5.14  	4.88
96  4.82  	5.02
101  4.86  	5.07
106  5.20  	5.03
111  5.22  	5.04
116  5.24  	5.01
121  5.29  	4.94
126  5.39  	5.03
131  5.32  	5.02
136  5.16  	4.99
141  5.21  	4.97
146  5.34  	5.07
151  5.36  	5.07
156  5.26  	4.97
161  5.16  	4.98
166  5.23  	5.00
171  5.25  	4.95
176  5.17  	4.97
181  5.19  	5.11
186  5.26  	5.07
191  5.19  	4.95
196  5.13  	4.92
201  5.29  	4.99
206  5.29  	4.99
211  5.26  	4.97
216  5.36  	4.99
221  5.36  	4.94
226  5.19  	4.85
231  5.06  	4.78
236  5.15  	4.90
241  5.19  	5.06
246  4.94  	5.15
251  5.04  	5.21
256  5.37  	5.19
261  5.35  	5.12
266  5.12  	4.87
271  5.03  	4.78
276  5.08  	4.89
281  5.24  	4.93
286  5.23  	5.00
291  5.16  	4.98
296  5.31  	5.02
301  5.38  	5.02
306  5.30  	4.97
311  5.18  	4.92
316  5.22  	4.94
321  5.24  	4.92
326  5.33  	4.93
331  5.30  	4.97
336  5.24  	5.02
341  5.21  	4.99
346  5.28  	5.04
351  5.20  	4.94
356  4.99  	4.90
361  5.05  	5.01
366  5.32  	5.09
371  5.33  	5.05
376  5.16  	4.86
381  5.29  	4.89
386  5.45  	4.94
391  5.47  	5.05
396  5.25  	5.02
401  5.27  	5.06
406  5.24  	4.99
411  5.25  	5.01
416  5.13  	4.96
421  5.13  	4.92
426  5.23  	4.90
431  5.25  	4.94
436  5.41  	5.17
441  5.42  	5.19
446  5.38  	5.08
451  5.30  	4.97
456  5.24  	4.99
461  5.22  	4.96
466  5.28  	4.94
471  5.28  	4.93
476  5.24  	4.86
481  5.25  	4.85
486  5.33  	4.94
491  5.30  	4.99
496  5.24  	5.02
501  5.11  	4.99
506  5.13  	4.99
511  5.29  	5.08
516  5.30  	5.11
521  5.06  	4.92
526  5.03  	4.72
531  5.21  	4.86
536  5.35  	5.06
541  5.21  	4.91
546  5.15  	4.75
551  5.21  	4.81
556  5.23  	4.96
561  5.11  	4.94
566  5.20  	5.01
571  5.21  	5.09
576  5.16  	4.94
581  5.17  	4.82
586  5.31  	4.94
591  5.37  	5.16
596  5.36  	5.11
601  5.41  	5.17
606  5.40  	5.09
611  5.15  	5.06
616  5.02  	4.92
621  5.21  	4.94
626  5.18  	4.98
631  4.85  	5.12
636  5.26  	4.82
641  5.48  	4.96
646  5.38  	5.02
651  5.20  	4.97
656  4.97  	5.12
661  5.21  	4.98
666  5.22  	5.04
671  5.21  	5.13
676  5.23  	5.12
681  5.29  	5.11
686  5.24  	4.96
691  5.22  	4.87
696  5.28  	5.06
701  5.26  	5.06
706  5.25  	5.06
711  5.24  	5.09
716  5.17  	5.26
721  5.13  	5.04
726  5.12  	4.91
731  5.12  	4.74
736  5.26  	4.80
741  5.21  	4.85
746  5.18  	4.93
751  5.23  	5.05
756  5.35  	5.20
761  5.41  	5.19
766  5.27  	5.08
771  5.15  	5.03
776  5.07  	4.93
781  5.07  	4.85
786  5.26  	4.79
791  5.37  	4.87
796  5.33  	4.95
801  5.31  	5.02
806  5.24  	5.01
811  5.32  	5.13
816  5.25  	5.13
821  5.28  	5.09
826  5.40  	5.08
831  5.34  	4.99
836  5.13  	4.86
841  5.25  	4.80
846  5.51  	5.02
851  5.35  	5.02
856  4.90  	5.07
861  4.85  	4.98
866  5.11  	4.97
871  5.14  	4.99
876  5.23  	5.03
881  5.41  	5.06
886  5.39  	5.08
891  4.98  	5.25
896  5.27  	4.91
901  5.24  	4.78
906  5.20  	4.83
911  5.32  	5.02
916  5.46  	5.16
921  5.10  	5.15
926  4.97  	5.07
931  5.20  	4.98
936  5.29  	4.99
941  4.98  	5.23
946  5.18  	4.98
951  5.14  	4.91
956  5.11  	4.88
961  5.19  	4.87
966  5.26  	4.88
971  5.27  	4.95
976  5.19  	5.08
981  5.23  	5.06
986  5.34  	5.14
991  5.38  	5.11
996  5.15  	4.93
1001  5.05  	4.77
1006  5.07  	4.82
1011  5.09  	5.24
1016  5.27  	5.01
1021  5.12  	4.89
1026  5.12  	4.87
1031  5.23  	4.93
1036  5.33  	4.95
1041  5.38  	4.99
1046  5.39  	5.02
1051  5.20  	4.93
1056  5.20  	4.93
1061  5.31  	5.01
1066  5.23  	5.16
1071  4.97  	5.14
1076  5.24  	4.95
1081  5.36  	5.01
1086  5.27  	4.93
1091  5.14  	4.83
1096  5.21  	4.95
1101  5.31  	5.05
1106  5.30  	5.01
1111  5.21  	4.96
1116  5.25  	5.02
1121  5.31  	5.01
1126  5.34  	5.01
1131  5.23  	4.92
1136  5.30  	4.93
1141  5.26  	4.95
1146  5.17  	4.98
1151  5.12  	4.96
1156  5.18  	4.91
1161  5.26  	4.97
1166  5.34  	5.07
1171  5.03  	5.37
1176  5.30  	5.02
1181  5.27  	4.93
1186  5.33  	4.90
1191  5.28  	4.92
1196  5.20  	4.95
1201  5.21  	4.95
1206  5.41  	5.07
1211  5.33  	5.07
1216  4.93  	5.10
1221  4.70  	5.04
1226  5.16  	4.89
1231  5.31  	4.90
1236  5.34  	4.95
1241  5.32  	4.97
1246  5.24  	5.04
1251  5.09  	5.02
1256  5.16  	5.01
1261  5.40  	5.05
1266  5.33  	5.04
1271  4.86  	5.08
1276  4.87  	5.11
1281  5.20  	4.99
1286  5.24  	4.89
1291  5.30  	4.94
1296  5.38  	5.04
1301  5.31  	4.98
1306  5.17  	4.88
1311  4.85  	5.08
1316  5.12  	5.06
1321  5.34  	5.04
1326  5.25  	4.93
1331  5.12  	4.92
1336  4.92  	5.12
1341  5.35  	5.06
1346  5.42  	5.00
1351  5.41  	5.01
1356  5.24  	5.01
1361  5.31  	4.86
1366  5.33  	4.86
1371  5.35  	5.06
1376  5.28  	5.15
1381  5.15  	4.95
1386  4.76  	5.14
1391  5.06  	5.27
1396  5.45  	5.25
1401  5.19  	4.93
1406  5.01  	4.79
1411  5.16  	4.98
1416  5.29  	5.03
1421  5.22  	5.02
1426  5.27  	5.08
1431  5.39  	5.08
1436  5.22  	4.86
1441  5.05  	4.69
1446  5.09  	4.85
1451  5.22  	4.91
1456  5.11  	4.82
1461  5.13  	4.77
1466  5.26  	4.93
1471  5.37  	5.13
1476  5.29  	5.11
1481  5.19  	4.98
1486  5.15  	4.92
1491  5.17  	5.00
1496  5.17  	5.03
1501  5.29  	4.98
1506  5.27  	4.94
1511  5.18  	4.86
1516  5.21  	4.87
1521  5.24  	4.98
1526  5.26  	4.98
1531  5.27  	4.97
1536  5.15  	4.99
1541  5.17  	4.99
1546  5.24  	4.95
1551  5.39  	5.06
1556  5.32  	5.03
1561  5.18  	4.81
1566  5.21  	4.76
1571  5.25  	4.92
1576  5.25  	5.00
1581  5.17  	5.00
1586  5.08  	4.97
1591  5.05  	4.95
1596  5.15  	4.98
1601  5.30  	5.05
1606  5.36  	5.02
1611  5.29  	4.90
1616  5.11  	4.77
1621  5.14  	4.90
1626  5.20  	4.89
1631  5.24  	5.01
1636  5.28  	5.12
1641  5.37  	5.18
1646  4.98  	5.09
1651  4.84  	4.97
1656  4.96  	4.82
1661  5.15  	4.89
1666  5.25  	4.98
1671  5.36  	5.15
1676  5.36  	5.13
1681  5.24  	4.94
1686  5.16  	4.83
1691  5.30  	4.90
1696  5.30  	5.06
1701  5.23  	5.09
1706  5.21  	5.00
1711  5.17  	4.91
1716  5.08  	4.92
1721  5.22  	5.07
1726  5.47  	5.22
1731  5.25  	5.13
1736  4.89  	5.12
1741  5.25  	4.96
1746  5.35  	4.97
1751  5.20  	5.00
1756  5.25  	5.01
1761  5.36  	4.98
1766  5.38  	5.01
1771  5.30  	4.99
1776  5.34  	4.95
1781  5.32  	5.00
1786  5.09  	4.97
1791  5.08  	4.93
1796  5.26  	4.92
1801  5.22  	4.87
1806  5.22  	4.87
1811  5.24  	4.88
1816  5.20  	4.98
1821  5.27  	5.05
1826  5.29  	4.91
1831  5.15  	4.82
1836  5.07  	4.77
1841  5.15  	4.83
1846  5.44  	4.94
1851  5.50  	5.11
1856  5.10  	5.21
1861  4.98  	5.17
1866  5.25  	5.01
1871  5.21  	4.91
1876  5.01  	4.91
1881  5.18  	4.90
1886  5.39  	5.01
1891  5.17  	4.89
1896  5.05  	4.85
1901  5.18  	4.91
1906  5.32  	5.07
1911  5.22  	5.14
1916  4.98  	5.15
1921  5.11  	4.95
1926  5.30  	4.90
1931  5.31  	4.93
1936  5.23  	5.00
1941  5.29  	5.11
1946  5.36  	5.16
1951  5.34  	5.12
1956  4.87  	5.13
1961  4.89  	5.10
1966  5.11  	4.91
1971  5.27  	4.93
1976  5.23  	4.78
1981  5.32  	4.90
1986  5.24  	5.04
1991  5.05  	4.98
1996  5.16  	4.97
